login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
Tivotal,Tivotal/Animated-Custom-Menu-Button-in-HTML-and-CSS,2024-10-28T04:11:34Z,0,0,CSS,true,true,
hasura,hasura/ddn-cloudx,2024-10-28T00:04:17Z,0,0,null,true,true,MIT License
sunnysavita10,sunnysavita10/OpenAI-Chat,2024-10-27T19:01:25Z,1,1,null,true,true,
Dhaiwat10,Dhaiwat10/socketio-hello-ui,2024-10-27T18:33:18Z,0,0,TypeScript,true,true,
Dhaiwat10,Dhaiwat10/socketio-hello-server,2024-10-27T18:25:32Z,0,0,TypeScript,true,true,
ThejasNU,ThejasNU/wal,2024-10-27T10:26:44Z,0,0,Go,true,true,MIT License
tirkarthi,tirkarthi/Airflow-2to3,2024-10-27T06:38:28Z,0,0,Python,true,true,MIT License
thatbeautifuldream,thatbeautifuldream/todo-fixme-scanner,2024-10-26T22:36:28Z,0,0,JavaScript,true,true,
kunchalavikram1427,kunchalavikram1427/jenkins-shared-library-01,2024-10-26T18:19:25Z,0,0,Groovy,true,true,
aravindavk,aravindavk/dataframes-d,2024-10-26T15:54:00Z,0,0,D,true,true,MIT License
midopooler,midopooler/mediapipe,2024-10-26T14:25:40Z,0,0,C++,true,true,Apache License 2.0
RheaAdh,RheaAdh/FastAPI-learn,2024-10-26T11:27:10Z,0,0,Python,true,false,
sahilbansal17,sahilbansal17/EPIJudge,2024-10-26T11:05:07Z,0,0,null,true,true,Other
techiescamp,techiescamp/kubernetes-tutorials,2024-10-26T05:38:12Z,0,0,null,true,true,
Amitpnk,Amitpnk/test,2024-10-26T03:50:29Z,0,0,null,true,true,
Tivotal,Tivotal/Custom-Toggle-Button-in-HTML-and-CSS,2024-10-26T03:37:15Z,0,0,CSS,true,true,
thatbeautifuldream,thatbeautifuldream/local-first-explorer,2024-10-26T02:43:47Z,0,0,TypeScript,true,true,
jasim,jasim/prisma-schema-parser,2024-10-25T17:53:28Z,0,0,null,true,true,ISC License
Dhaiwat10,Dhaiwat10/hello-rocket,2024-10-25T13:03:31Z,0,0,Rust,true,true,
juspay,juspay/trident3ds-ios,2024-10-25T10:40:26Z,0,0,Swift,true,true,
saishkulkarni,saishkulkarni/Ecommerce-SpringBootThymeleaf,2024-10-25T07:07:51Z,0,0,HTML,true,true,
jidhu-mohan,jidhu-mohan/Defect-Detection-of-PCB,2024-10-25T05:48:44Z,0,0,Jupyter Notebook,true,true,"BSD 3-Clause ""New"" or ""Revised"" License"
juspay,juspay/hyperpaypal-ios,2024-10-25T04:27:36Z,0,0,null,true,true,
juspay,juspay/hypertrident-ios,2024-10-25T04:24:51Z,0,0,null,true,true,
juspay,juspay/hyperpayu-ios,2024-10-25T04:20:36Z,0,0,null,true,true,
juspay,juspay/hyperqr-ios,2024-10-25T04:18:29Z,0,0,null,true,true,
juspay,juspay/hyperupi-ios,2024-10-25T04:16:46Z,0,0,null,true,true,
juspay,juspay/hyperapay-ios,2024-10-25T04:14:05Z,0,0,null,true,true,
Dhaiwat10,Dhaiwat10/fuels-latency-check,2024-10-25T03:56:03Z,0,0,TypeScript,true,true,
juspay,juspay/hypersdk-ios,2024-10-25T03:31:23Z,0,0,null,true,true,
shahsad-kp,shahsad-kp/wagtail,2024-10-24T18:49:33Z,0,0,null,true,true,"BSD 3-Clause ""New"" or ""Revised"" License"
DollarAkshay,DollarAkshay/sveltekit-template,2024-10-24T18:17:16Z,0,0,JavaScript,true,true,
sanjaysamantra1,sanjaysamantra1/nestjs-mongoose-crud,2024-10-24T16:23:53Z,0,0,TypeScript,true,true,
sanjaysamantra1,sanjaysamantra1/NestJS_Notes,2024-10-24T15:06:40Z,0,0,null,true,true,
heyletscode,heyletscode/dl_project,2024-10-24T13:57:11Z,0,0,Python,true,true,
iamshadmirza,iamshadmirza/docs,2024-10-24T10:14:02Z,0,0,MDX,true,true,
geohacker,geohacker/mapbeat,2024-10-24T09:59:16Z,0,0,HTML,true,true,
hasura,hasura/ddn-comments,2024-10-24T09:01:57Z,0,0,null,true,true,MIT License
narasimhareddyprostack,narasimhareddyprostack/Test_Project,2024-10-23T12:18:40Z,0,0,HTML,true,true,
priyaaank,priyaaank/tech-assessment,2024-10-23T10:19:09Z,0,0,null,true,true,MIT License
Tivotal,Tivotal/Website-Design-with-Login-Form-in-HTML-CSS,2024-10-23T08:18:51Z,0,0,CSS,true,true,
AnkitaBagale,AnkitaBagale/module-federation-rsbuild-webpack,2024-10-23T04:47:12Z,0,0,JavaScript,true,true,
Tivotal,Tivotal/Password-Visibility-Toggle-with-Torch-Light-Effect-HTML-CSS-JavaScript,2024-10-23T04:16:03Z,0,0,CSS,true,true,
hasura,hasura/promptql-sample-ecommerce-app,2024-10-22T19:56:05Z,0,0,TypeScript,true,true,
srijan-paul,srijan-paul/kat,2024-10-22T17:09:50Z,0,0,C,true,true,MIT License
sumansauravmay,sumansauravmay/Interview_output_based_question,2024-10-22T12:34:55Z,0,0,JavaScript,true,true,
Tivotal,Tivotal/Advanced-Card-Hover-Effects-by-using-HTML-CSS-and-JavaScript,2024-10-22T06:47:42Z,0,0,CSS,true,true,
Tivotal,Tivotal/JavaScript-Fractal-Tree-using-Canvas,2024-10-22T03:54:06Z,0,0,JavaScript,true,true,
is1dd,is1dd/EstellaEcoCarbon,2024-10-21T18:02:44Z,0,0,TypeScript,true,true,
marketcalls,marketcalls/TradingView-Screener,2024-10-21T17:42:05Z,0,0,null,true,true,MIT License
SujithThirumalaisamy,SujithThirumalaisamy/real-time-game-spec,2024-10-21T16:33:37Z,1,1,TypeScript,true,true,
hasura,hasura/promptql,2024-10-21T14:43:01Z,0,0,null,true,true,
paramaggarwal,paramaggarwal/docker-compose,2024-10-21T12:54:56Z,0,0,null,true,false,MIT License
marketcalls,marketcalls/openchart-js,2024-10-21T11:57:47Z,0,0,JavaScript,true,true,Other
Siddhesh-Agarwal,Siddhesh-Agarwal/requests-pydantic,2024-10-21T11:39:25Z,1,1,null,true,true,Apache License 2.0
thatbeautifuldream,thatbeautifuldream/compare-shortlist-demo-data,2024-10-21T11:34:32Z,0,0,null,true,true,
juspay,juspay/salvator-ios,2024-10-21T07:30:49Z,0,0,Swift,true,true,
laxmimerit,laxmimerit/rag-dataset,2024-10-21T07:20:53Z,1,1,null,true,true,
marketcalls,marketcalls/websocket-stockmarket-clickhouse,2024-10-21T07:06:47Z,2,2,Python,true,true,MIT License
juspay,juspay/juspaysafebrowser-ios,2024-10-21T06:09:00Z,0,0,Swift,true,true,
Sonichigo,Sonichigo/opensourcepledge.com,2024-10-21T05:56:42Z,0,0,Astro,true,false,
sunnysavita10,sunnysavita10/langgraph-end-to-end,2024-10-21T05:56:14Z,1,1,Jupyter Notebook,true,true,
Tivotal,Tivotal/Draggable-Tabs-Layout-in-HTML-CSS-JavaScript,2024-10-21T05:48:04Z,0,0,CSS,true,true,
Infosys,Infosys/Infosys-Data-Validation-Extensible-IDVEX,2024-10-21T05:23:29Z,0,0,Python,true,true,MIT License
danishprakash,danishprakash/containers-wg,2024-10-21T02:36:16Z,0,0,null,true,true,
cpraveen,cpraveen/construct2d,2024-10-21T02:22:01Z,0,0,Fortran,true,true,
narasimhareddyprostack,narasimhareddyprostack/shiva_Java,2024-10-20T16:17:08Z,0,0,Java,true,true,
adil-shabab,adil-shabab/Dentstop,2024-10-20T11:45:12Z,0,0,HTML,true,true,
marketcalls,marketcalls/yfinance,2024-10-20T10:47:30Z,0,0,null,true,true,Apache License 2.0
marketcalls,marketcalls/openchart,2024-10-20T07:11:58Z,10,10,Python,true,true,Other
tanisha03,tanisha03/llama-hack,2024-10-20T04:28:56Z,0,0,TypeScript,true,true,
gucci1909,gucci1909/cpp-guide,2024-10-19T19:56:06Z,0,0,C++,true,true,
hasura,hasura/ndc-duckduckapi,2024-10-19T19:39:02Z,0,0,TypeScript,true,true,Apache License 2.0
lepisma,lepisma/header-progress,2024-10-19T16:18:00Z,1,1,Emacs Lisp,true,true,
krishnaik06,krishnaik06/Transformers-Materials,2024-10-19T15:43:30Z,8,8,null,true,true,GNU General Public License v3.0
eshaan7,eshaan7/helios,2024-10-19T12:12:34Z,0,0,Rust,true,true,MIT License
FarhaKousar1601,FarhaKousar1601/Parkinsons-disease-prediction,2024-10-19T11:50:32Z,0,0,null,true,true,MIT License
FarhaKousar1601,FarhaKousar1601/Parkinsons-disease-prediction-using-CNN,2024-10-19T11:30:38Z,1,1,Jupyter Notebook,true,true,
FarhaKousar1601,FarhaKousar1601/combined-repo,2024-10-19T10:29:21Z,0,0,null,true,true,
tkmagesh,tkmagesh/Shastra-MERN,2024-10-19T09:16:07Z,1,1,JavaScript,true,true,
